,frequency
0,1
1,0
2,0
3,2
4,0
5,1
6,2
7,2
8,2
9,0
10,1
11,1
12,4
13,1
14,1
15,0
16,1
17,1
18,2
19,1
20,0
21,0
22,3
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
