ID,Player Type,Winner?,Points,Total Money,Money from GO,Money from Chest,Money from properties,Starting Position,Number of Moves,Path,Times Passed Go,Times in Jail,Properties,Chest Cards,Chest Card Payout,Total Wait
3.0,greedy,Loser,2.0,13000,6000.0,2000,9000,0,28,"[1, 4, 5, 7, 12, 14, 15, 19, 21, 27, 29, 1, 7, 13, 16, 22, 28, 29, 1, 2, 6, 9, 15, 21, 26, 0, 6, 8]",6.0,0.0,"[1, 5, 7, 19, 21, 27, 22, 28, 2]","[7, 12, 3]","[[3, 2000]]",19.9
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,6,20.092045545578003,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,2.0,10000,4000.0,1000,8000,0,28,"[2, 4, 10, 11, 14, 18, 22, 23, 26, 29, 3, 9, 14, 16, 17, 23, 26, 0, 1, 2, 4, 5, 6, 7, 8, 11, 12, 15]",4.0,0.0,"[4, 11, 14, 18, 22, 23, 3, 26]","[11, 4, 10]","[[11, 1000]]",19.910000000000007
2.0,greedy,Loser,1.0,12000,5000.0,2000,9000,0,28,"[2, 5, 10, 11, 17, 21, 24, 8, 14, 18, 21, 23, 25, 29, 2, 6, 12, 15, 17, 18, 19, 22, 23, 25, 26, 28, 29, 3, 6]",5.0,1.0,"[2, 10, 17, 21, 25, 29, 6, 12, 28]","[2, 6, 8]","[[2, 2000]]",20.03
3.0,greedy,Winner,3.0,13000,6000.0,2000,9000,0,28,"[1, 5, 7, 8, 9, 15, 17, 20, 21, 25, 31, 2, 3, 8, 13, 19, 21, 26, 29, 0, 6, 9, 12, 17, 19, 21, 27, 1]",6.0,0.0,"[1, 5, 7, 9, 15, 20, 13, 19, 27]","[7, 3, 5]","[[3, 2000]]",19.98
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,7,20.01401853561401,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,2.0,11000,6000.0,0,9000,0,28,"[5, 11, 13, 15, 19, 20, 22, 28, 31, 0, 4, 6, 8, 14, 17, 22, 26, 30, 4, 6, 12, 13, 15, 21, 24, 8, 13, 18, 23]",6.0,1.0,"[5, 11, 13, 19, 20, 22, 4, 26, 12]","[5, 6, 2]",[],19.87
2.0,greedy,Loser,1.0,12000,5000.0,2000,8000,0,29,"[2, 5, 7, 11, 17, 21, 25, 27, 29, 31, 1, 4, 10, 12, 14, 19, 24, 8, 13, 14, 17, 19, 20, 22, 23, 25, 28, 2, 6, 12]",5.0,1.0,"[2, 7, 17, 21, 25, 27, 10, 23]","[9, 3, 4]","[[3, 2000]]",19.93
3.0,greedy,Winner,4.0,14000,5000.0,2000,11000,0,28,"[1, 5, 9, 13, 15, 17, 18, 20, 21, 27, 28, 2, 5, 6, 9, 14, 15, 18, 20, 26, 29, 30, 1, 3, 7, 11, 15, 21]",5.0,0.0,"[1, 9, 15, 18, 28, 6, 14, 29, 3]","[7, 10, 12]","[[10, 1000], [12, 1000]]",19.680000000000003
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,game,8,20.000540018081665,seconds,4.0,x speed,randomized time:,True,trading?:,False,,,,,,
1.0,greedy,Loser,2.0,15000,5000.0,3000,10000,0,29,"[5, 11, 14, 16, 18, 19, 21, 23, 29, 30, 4, 8, 10, 15, 21, 22, 27, 29, 30, 2, 4, 10, 13, 18, 20, 22, 23, 26, 27]",5.0,0.0,"[5, 11, 18, 29, 30, 15, 22, 2]","[12, 9, 6]","[[12, 1000], [9, 2000]]",19.820000000000004
2.0,greedy,Winner,2.0,17000,6000.0,6000,7000,0,30,"[4, 8, 14, 17, 20, 21, 27, 29, 1, 6, 7, 12, 15, 18, 23, 29, 3, 5, 6, 12, 14, 15, 20, 24, 8, 10, 11, 16, 18, 20, 25]",6.0,1.0,"[4, 14, 17, 20, 21, 27, 1]","[3, 1, 11]","[[3, 2000], [1, 2000], [11, 1000], [11, 1000]]",19.65
